"","V1"
"E",">="
"B1","=="
"B2.1","=="
"B2.2","=="
"B2.3","=="
"B4.1","<="
"B4.2",">="
"B5.1",">="
"B5.2","<="
"B5.3",">="
"B5.4","<="
"B5.5",">="
"B5.6","<="
"B6.1","=="
"B6.2","=="
"B6.3","=="
"B6.4","=="
"B6.5","=="
"B6.6","=="
"B6.7","=="
"B6.8","=="
"B6.9","=="
"B6.10","=="
"B6.11","=="
"B6.12","=="
"B6.13","=="
"B6.14","=="
"B6.15","=="
"B6.16","=="
"B6.17","=="
"B6.18","=="
"B6.19","=="
"B6.20","=="
"B6.21","=="
"B6.22","=="
"B6.23","=="
"B6.24","=="
"B6.25","=="
"B6.26","=="
"B6.27","=="
"B6.28","=="
"B6.29","=="
"B6.30","=="
"B6.31","=="
"B6.32","=="
"B6.33","=="
"B6.34","=="
"B6.35","=="
"B6.36","=="
"B6.37","=="
"B6.38","=="
"B6.39","=="
"B6.40","=="
"B6.41","=="
"B6.42","=="
"B6.43","=="
"B6.44","=="
"B6.45","=="
"B6.46","=="
"B6.47","=="
"B6.48","=="
"B6.49","=="
"B6.50","=="
"B6.51","=="
"B6.52","=="
"B6.53","=="
"B6.54","=="
"B6.55","=="
"B6.56","=="
"B6.57","=="
"B6.58","=="
"B6.59","=="
"B6.60","=="
"B6.61","=="
"B6.62","=="
"B6.63","=="
"B6.64","=="
"B6.65","=="
"B6.66","=="
"B6.67","=="
"B6.68","=="
"B6.69","=="
"B6.70","=="
"B6.71","=="
"B6.72","=="
"B6.73","=="
"B6.74","=="
"B6.75","=="
"B6.76","=="
"B6.77","=="
"B6.78","=="
"B6.79","=="
"B6.80","=="
"B6.81","=="
"B6.82","=="
"B6.83","=="
"B6.84","=="
"B6.85","=="
"B6.86","=="
"B6.87","=="
"B6.88","=="
"B6.89","=="
"B6.90","=="
