	V1
E	1E-010
B1	1
B2.1	0,3333333333
B2.2	0,3333333333
B2.3	0,3333333333
B4.1	1
B4.2	0,5
B5.1	0
B5.2	1
B5.3	0
B5.4	1
B5.5	0
B5.6	1
B6.1	0
B6.2	0
B6.3	0
B6.4	0
B6.5	0
B6.6	0
B6.7	0
B6.8	0
B6.9	0
B6.10	0
B6.11	0
B6.12	0
B6.13	0
B6.14	0
B6.15	0
B6.16	0
B6.17	0
B6.18	0
B6.19	0
B6.20	0
B6.21	0
B6.22	0
B6.23	0
B6.24	0
B6.25	0
B6.26	0
B6.27	0
B6.28	0
B6.29	0
B6.30	0
B6.31	0
B6.32	0
B6.33	0
B6.34	0
B6.35	0
B6.36	0
B6.37	0
B6.38	0
B6.39	0
B6.40	0
B6.41	0
B6.42	0
B6.43	0
B6.44	0
B6.45	0
B6.46	0
B6.47	0
B6.48	0
B6.49	0
B6.50	0
B6.51	0
B6.52	0
B6.53	0
B6.54	0
B6.55	0
B6.56	0
B6.57	0
B6.58	0
B6.59	0
B6.60	0
B6.61	0
B6.62	0
B6.63	0
B6.64	0
B6.65	0
B6.66	0
B6.67	0
B6.68	0
B6.69	0
B6.70	0
B6.71	0
B6.72	0
B6.73	0
B6.74	0
B6.75	0
B6.76	0
B6.77	0
B6.78	0
B6.79	0
B6.80	0
B6.81	0
B6.82	0
B6.83	0
B6.84	0
B6.85	0
B6.86	0
B6.87	0
B6.88	0
B6.89	0
B6.90	0
